user_id,created_at,followers_count,following_count,tweets_count,sensitive_tweets_count,retweets_average,mentions_average,sentiment_average,retweeted_sentiment_average,poli_affil
1622051,2007,34348,3201,715,0,740.02,0.49,-0.017734,NA,left
1653051,2007,3130,1635,175859,1,939.1417722,0.927531646,-0.069522658,NA,right
1689081,2007,2985,4948,9004,0,271.26,0.86,0.12128,NA,left
1777681,2007,7379,7253,110694,0,1289.9,1.09,0.058184,NA,left
1797361,2007,604,98,11242,0,3079.09,0.26,0.019978,NA,left
1797991,2007,61073,6883,235,0,76.26066351,0.895734597,0.086891943,NA,right
1899161,2007,28878,2195,22716,0,3259.48,0.99,0.001835,NA,left
1906831,2007,1479,923,293,0,2148.5,0.75,0.062579,NA,left
1947301,2007,1250825,8989,130568,0,10.22,1.03,0.10384,0.198019512,left
2020351,2007,36021,3376,18095,0,802.25,0.91,-0.011948,NA,left
2066991,2007,699,3414,21966,0,693.82,0.98,0.048773,NA,left
2128631,2007,259,986,10420,65,180.18,0.76,0.04837,NA,left
2179951,2007,1710,4963,154907,0,175.51,0.44,-0.102964,NA,left
2195241,2007,192235,5477,7415,0,711.04,0.8,0.089562,0.073352632,left
2198211,2007,3006,738,45892,0,36.62,0.6,0.039862,NA,left
2199541,2007,54605,1358,171486,0,358.58,1.07,0.058635,NA,left
2200221,2007,17272,17711,18006,0,1876.92,1.11,0.010543,NA,left
2235041,2007,422,670,9021,0,1174.12,1.94,-0.030843,NA,left
2726611,2007,20201,1513,73394,0,40.69,0.77,0.089743,NA,left
2884771,2007,3587469,578,321538,0,6.38,0.08,0.020162,-0.1642,left
2903261,2007,16529,5920,42785,0,788.67,1.12,0.136902,NA,left
2910971,2007,7460,6921,253787,0,2602.82,0.92,0.090919,NA,left
2914671,2007,2607,3593,64997,0,1008.33,0.35,0.166872,NA,left
3250841,2007,4160,4709,210471,0,3601.89,1.11,-0.010899,NA,left
3370001,2007,7688,3621,132975,0,973.94,1.09,0.003886,NA,left
3408951,2007,2719,4283,86088,0,420.66,0.95,0.0314,0.006575,left
3497941,2007,150317,5417,120466,0,305.62,0.37,-0.093851,NA,left
3562941,2007,2818,5003,69490,0,19.04,0.48,0.057704,NA,left
3652741,2007,6684,5360,48599,0,4610.35,7.86,0.01005,NA,left
3734831,2007,2770,2279,23266,0,177.34,0.52,0.123598,NA,left
3940871,2007,32251,3675,12212,0,1.17,0.24,0.365926,NA,left
3952791,2007,11118,902,225471,0,72.8,0.81,0.195025,NA,left
4041161,2007,1632,1522,328163,0,626.19,1.09,0.026619,NA,left
4067771,2007,646,1227,1719,0,6259.36,1.19,0.245726,NA,left
4119741,2007,1927328,3452,38441,0,301.93,0.98,0.065932,NA,left
4227911,2007,338,1057,8513,0,1693.86,1.31,-0.084025,NA,left
4390331,2007,7558,6919,358533,0,1004.71,1.18,0.014447,0.068083333,left
4440431,2007,25530,13254,9542,0,78.43,0.68,0.101821,NA,left
4556491,2007,778,1524,46491,0,3508.81,1.5,0.119938,NA,left
4637891,2007,547,1092,167959,0,148.4515625,2.78375,0.028114969,NA,right
4815301,2007,1855,3319,18173,0,1897.06,0.59,0.089803,NA,left
4833701,2007,374,311,68082,0,234.27,1.05,0.003961,NA,left
5054721,2007,12088,10269,108320,0,1184.7,1.12,-0.048889,NA,left
5379272,2007,1902,1321,96166,0,2719,0.96,-0.053853,NA,left
5386262,2007,81,239,2108,0,39.93,0.18,0.051904,0.3753,left
5391342,2007,8736,1683,7511,0,1303.55,0.54,0.116083,NA,left
5409972,2007,1043,4473,233533,0,682.83,0.56,-0.072412,0.028295918,left
5473832,2007,1880,3340,109961,0,1188.89,1.35,-0.035405,-0.026275758,left
5474222,2007,12105,11444,46736,0,892.8471397,0.678649578,0.068951141,NA,right
5511332,2007,34016,33311,74424,0,701.6369367,1.070280492,0.031353199,NA,right
5566092,2007,6117,7314,22745,0,57.35,0.33,0.1245,NA,left
5689782,2007,372,1796,14404,0,1546.692429,1.5,0.026554416,0.013539867,right
5718732,2007,1523,1771,27343,0,4135.01,1.3,0.108111,NA,left
5747312,2007,903,3367,29935,0,598.73,1.49,0.352338,NA,left
